id_client,date_octroi,age,sexe,situation_matrimoniale,nb_personnes_charge,niveau_education,zone_habitation,secteur_activite,anciennete_activite_mois,revenu_mensuel_fcfa,charges_mensuelles_fcfa,possede_compte_epargne,montant_epargne_fcfa,montant_credit_fcfa,duree_credit_mois,taux_interet_annuel,objet_credit,type_garantie,membre_groupe_solidaire,nb_credits_anterieurs,nb_retards_anterieurs,score_mobile_money,nb_transactions_mm_mois,distance_agence_km,agent_credit,nb_relances_recouvrement,statut_dossier,defaut_paiement
CLI-006988,2022-10-08,41,F,Marie,4.0,Superieur,Urbaine,Fonction publique,186.0,548900.0,181900.0,1,67000.0,1726000.0,9,29.68,Fonds de roulement,Caution solidaire,0,0,0,65.9,29,7.4,AG-008,0,Solde,0
CLI-001292,2022-06-09,45,M,Marie,2.0,Primaire,Rurale,Services,21.0,98200.0,41000.0,0,0.0,651000.0,18,27.46,Equipement,Caution solidaire,1,0,0,67.5,4,15.0,AG-019,0,Solde,0
CLI-000296,2021-01-22,25,F,Veuf,0.0,Aucun,Semi-urbaine,Agriculture,106.0,98500.0,47500.0,0,0.0,198000.0,9,19.15,Fonds de roulement,Aucune,0,0,0,66.9,8,5.9,AG-025,1,Solde,0
CLI-002950,2022-01-07,18,M,Celibataire,0.0,Primaire,Semi-urbaine,Artisanat,108.0,65700.0,19400.0,1,24000.0,303000.0,24,17.89,Scolarite,Aucune,0,1,0,,5,5.7,AG-011,1,Solde,0
CLI-007600,2023-11-16,29,F,Celibataire,2.0,Superieur,Rurale,Services,50.0,109000.0,52200.0,1,27300.0,425000.0,18,21.64,Scolarite,Caution solidaire,1,1,0,41.0,4,3.4,AG-020,0,Solde,0
CLI-003976,2024-12-14,29,F,Celibataire,2.0,Primaire,Rurale,Transport,,28100.0,7900.0,0,,27000.0,12,27.09,Sante,Caution solidaire,1,1,0,38.6,9,24.0,AG-002,0,Solde,0
CLI-004295,2022-12-28,37,M,Marie,0.0,Superieur,Urbaine,Commerce,102.0,90900.0,36400.0,0,0.0,400000.0,12,24.13,Intrants agricoles,Caution solidaire,1,0,0,71.3,19,4.4,AG-023,0,En cours,0
CLI-001278,2024-07-13,28,M,Marie,7.0,Aucun,Rurale,Artisanat,30.0,40700.0,20000.0,0,0.0,195000.0,24,25.56,Intrants agricoles,Caution solidaire,1,1,0,46.7,5,5.9,AG-018,0,Solde,0
CLI-006515,2022-02-03,31,M,Divorce,3.0,Aucun,URBAINE,  Agriculture,71.0,,38000.0,0,0.0,238000.0,24,26.52,Equipement,Aucune,0,2,0,47.6,22,4.9,AG-021,1,Solde,0
CLI-001543,2021-04-12,33,M,Marie,6.0,Superieur,Urbaine,Agriculture,122.0,,47700.0,1,10600.0,342000.0,18,29.8,Fonds de roulement,Caution solidaire,1,2,0,,22,1.3,AG-019,0,Solde,0
CLI-007558,2024-09-06,39,F,Marie,,Superieur,Urbaine,Agriculture,114.0,134400.0,101600.0,0,0.0,118000.0,3,22.78,Equipement,Caution solidaire,1,2,0,65.4,27,4.6,AG-005,1,En cours,0
CLI-005678,2021-01-26,19,M,Marie,0.0,Superieur,Urbaine,Artisanat,39.0,68700.0,22900.0,1,22000.0,59000.0,3,14.85,Fonds de roulement,Aucune,0,2,1,40.8,15,7.4,AG-024,1,Solde,0
CLI-003389,2025-01-06,42,F,Marie,2.0,Secondaire,Semi-urbaine,Transport,100.0,49800.0,16000.0,0,0.0,104000.0,3,22.29,Scolarite,Aucune,0,1,0,39.5,5,11.1,AG-005,0,En cours,0
CLI-005148,2021-08-29,44,F,Veuf,0.0,Primaire,Semi-urbaine,Artisanat,15.0,27300.0,11300.0,0,0.0,72000.0,12,22.54,Fonds de roulement,Aucune,0,1,0,,6,1.7,AG-019,0,Solde,0
CLI-003405,2024-03-30,35,F,Marie,8.0,Primaire,Urbaine,Artisanat,21.0,38200.0,25200.0,0,0.0,98000.0,18,23.49,Equipement,Caution solidaire,1,4,1,24.7,19,9.8,AG-006,0,Solde,0
CLI-008221,2022-07-19,43,M,Marie,4.0,Secondaire,Urbaine,Commerce,,156300.0,39700.0,0,,505000.0,9,21.8,Autre,Caution solidaire,1,2,0,66.8,17,3.1,AG-020,0,Solde,0
CLI-007396,2021-07-02,28,M,Divorce,2.0,Aucun,Semi-urbaine,Transport,67.0,79600.0,39000.0,0,0.0,539000.0,12,22.64,Intrants agricoles,Caution solidaire,0,2,0,57.1,1,6.3,AG-019,0,Solde,0
CLI-002216,2021-06-27,40,F,Celibataire,1.0,Superieur,Urbaine,Agriculture,14.0,35300.0,13100.0,1,7600.0,196000.0,12,18.45,Equipement,Caution solidaire,1,0,0,61.1,18,1.5,AG-005,0,En cours,0
CLI-002448,2021-11-09,26,F,Divorce,0.0,Primaire,Semi-urbaine,Commerce,23.0,72900.0,33700.0,0,0.0,191000.0,6,12.3,Fonds de roulement,Materiel,0,2,1,,8,3.2,AG-018,0,Solde,0
CLI-003219,2024-04-27,34,F,Marie,3.0,Secondaire,Rurale,Commerce,77.0,80400.0,31300.0,1,16300.0,474000.0,24,18.06,Fonds de roulement,Aucune,1,0,0,55.6,4,22.3,AG-019,5,Restructure,1
CLI-007411,2023-06-03,36,M,Celibataire,2.0,Primaire,RURALE,Services,46.0,39000.0,24700.0,0,0.0,28000.0,12,25.19,Equipement,Aucune,0,3,2,58.9,6,9.2,AG-022,0,Solde,0
CLI-004866,2023-01-27,21,F,Marie,1.0,Aucun,Rurale,Transport,53.0,64900.0,37200.0,0,0.0,392000.0,12,27.88,Intrants agricoles,Materiel,0,0,0,,6,20.6,AG-026,0,Solde,0
CLI-008380,04/05/2021,25,F,Divorce,0.0,Primaire,Rurale,Commerce,21.0,50400.0,28400.0,1,23500.0,306000.0,36,29.72,Intrants agricoles,Aucune,0,2,0,51.7,4,3.1,AG-008,0,Solde,0
CLI-007972,16/06/2022,44,F,Marie,4.0,Primaire,Urbaine,Services,46.0,60200.0,38500.0,0,0.0,296000.0,12,25.28,Autre,Aucune,1,3,1,42.5,16,5.2,AG-007,1,Solde,0
CLI-002187,2023-09-13,52,M,Celibataire,0.0,Aucun,Rurale,Commerce,43.0,49600.0,29300.0,0,0.0,161000.0,36,18.55,Intrants agricoles,Aucune,0,3,0,,6,14.7,AG-003,0,Solde,0
CLI-000093,2021-09-18,27,F,Marie,1.0,Primaire,URBAINE,Commerce,51.0,143400.0,82900.0,1,42800.0,249000.0,12,20.98,Fonds de roulement,Aucune,0,1,0,56.7,17,5.0,AG-002,5,Restructure,1
CLI-005781,2022-11-23,28,M,Marie,4.0,,Rurale,Services,9.0,56900.0,25500.0,0,0.0,210000.0,9,23.34,Scolarite,Aucune,0,5,0,52.8,8,9.8,AG-024,4,Recouvrement,1
CLI-006616,2024-03-15,35,F,Marie,2.0,Superieur,Semi-urbaine,Agriculture,29.0,93100.0,41000.0,1,148900.0,489000.0,12,21.18,Autre,Caution solidaire,1,2,1,53.0,8,6.5,AG-018,1,Solde,0
CLI-009178,2021-07-25,33,M,Celibataire,1.0,,Rurale,Commerce,90.0,-999.0,54200.0,0,0.0,88000.0,12,32.7,Equipement,Aucune,1,3,1,33.7,5,26.0,AG-011,0,Solde,0
CLI-002458,2023-09-11,31,M,Divorce,3.0,Primaire,RURALE,Commerce,43.0,,13100.0,0,0.0,231000.0,24,27.43,Intrants agricoles,Aucune,0,2,1,41.4,6,3.1,AG-023,0,En cours,0
CLI-005396,2024-07-08,33,F,Celibataire,3.0,Primaire,Rurale,Agriculture,33.0,55000.0,35600.0,1,4900.0,592000.0,6,23.33,Fonds de roulement,Caution solidaire,1,0,0,41.1,8,24.9,AG-003,6,Recouvrement,1
CLI-002814,2024-04-17,46,F,Celibataire,,Primaire,Urbaine,Agriculture,190.0,82500.0,45100.0,0,0.0,469000.0,12,22.49,Fonds de roulement,Caution solidaire,1,3,0,44.3,17,2.7,AG-022,0,Solde,0
CLI-004453,2023-06-19,29,M,Marie,3.0,Primaire,Semi-urbaine,Commerce,40.0,82400.0,23600.0,0,0.0,572000.0,3,26.4,Fonds de roulement,Caution solidaire,1,1,0,73.5,8,1.1,AG-009,3,Contentieux,1
CLI-002489,2021-07-31,37,F,Veuf,1.0,Aucun,Semi-urbaine,Commerce,52.0,63400.0,34300.0,1,75600.0,285000.0,3,22.23,Equipement,Caution solidaire,0,2,0,50.0,6,2.3,AG-016,0,En cours,0
CLI-003255,2023-02-27,45,F,Marie,3.0,Aucun,Rurale,Commerce,101.0,46900.0,27400.0,0,0.0,101000.0,24,16.28,Scolarite,Caution solidaire,0,2,0,60.3,6,8.5,AG-010,0,En cours,0
CLI-007081,2021-11-06,24,F,Celibataire,0.0,Secondaire,Urbaine,Artisanat,104.0,89500.0,50800.0,0,0.0,81000.0,12,20.26,Habitat,Aucune,1,1,0,65.0,21,7.1,AG-024,0,Solde,0
CLI-005112,2023-11-10,48,F,Marie,4.0,Primaire,Semi-urbaine,Commerce,45.0,186200.0,101200.0,0,,112000.0,9,27.79,Equipement,Caution solidaire,1,4,0,50.6,10,1.5,AG-002,4,Restructure,1
CLI-001988,2023-06-02,47,F,Marie,2.0,Aucun,Semi-urbaine,Transport,27.0,26300.0,14000.0,0,0.0,130000.0,6,21.8,Sante,Caution solidaire,1,1,1,61.2,4,3.4,AG-025,1,Solde,0
CLI-009083,2022-02-22,36,M,Marie,2.0,Secondaire,Urbaine,Services,,46800.0,23400.0,0,0.0,382000.0,6,22.86,Intrants agricoles,Aucune,1,0,0,53.7,15,1.8,AG-013,7,Restructure,1
CLI-009096,2022-04-18,25,F,Marie,5.0,Primaire,Urbaine,Commerce,46.0,199300.0,138300.0,0,0.0,1140000.0,36,23.41,Fonds de roulement,Materiel,0,1,1,39.7,22,3.1,AG-005,0,En cours,0
CLI-004094,2024-07-13,50,M,Celibataire,2.0,Superieur,Rurale,Commerce,68.0,26500.0,17500.0,0,0.0,127000.0,12,26.5,Scolarite,Materiel,0,0,0,68.2,4,45.2,AG-024,0,En cours,0
CLI-003978,2022-03-01,24,F,Marie,1.0,Primaire,Semi-urbaine,Services,66.0,62900.0,47400.0,0,0.0,219000.0,24,16.21,Equipement,Caution solidaire,0,1,1,68.2,5,3.2,AG-016,0,En cours,0
CLI-001076,2021-10-02,48,M,Divorce,1.0,Superieur,Urbaine,Commerce,,,147900.0,1,84700.0,1531000.0,6,21.74,Fonds de roulement,Caution solidaire,1,2,0,71.1,25,6.1,AG-019,0,Solde,0
CLI-006038,2023-10-27,36,M,Marie,6.0,Aucun,Rurale,Commerce,117.0,31800.0,8200.0,1,13200.0,175000.0,9,20.0,Fonds de roulement,Aucune,0,1,0,71.0,7,11.5,AG-013,5,Recouvrement,1
CLI-000565,2022-03-30,37,M,Celibataire,0.0,Primaire,Semi-urbaine,Commerce,39.0,42300.0,28200.0,0,0.0,36000.0,9,23.86,Fonds de roulement,Caution solidaire,1,3,2,,7,4.4,AG-009,0,Solde,0
CLI-001965,2021-06-10,18,F,Marie,3.0,Secondaire,Urbaine,Fonction publique,31.0,165700.0,79800.0,0,0.0,910000.0,12,21.97,Habitat,Caution solidaire,1,0,0,68.7,20,8.4,AG-010,1,En cours,0
CLI-005749,2024-11-24,23,F,Marie,1.0,Aucun,Urbaine,Agriculture,111.0,50500.0,8300.0,0,0.0,162000.0,6,18.85,Sante,Caution solidaire,1,3,0,,22,3.1,AG-003,0,Solde,0
CLI-006879,2022-08-20,38,M,Divorce,3.0,Secondaire,Semi-urbaine,Artisanat,42.0,107400.0,74700.0,1,104400.0,206000.0,12,12.73,Equipement,Caution solidaire,1,1,0,44.3,12,2.0,AG-022,0,Solde,0
CLI-007734,2022-05-09,46,F,Marie,3.0,Aucun,Rurale,Agriculture,121.0,37500.0,7800.0,0,0.0,277000.0,9,29.98,Intrants agricoles,Aucune,0,4,0,40.2,4,21.5,AG-026,7,Contentieux,1
CLI-001198,2024-01-03,18,F,Celibataire,1.0,Primaire,Rurale,Transport,45.0,39400.0,11000.0,1,4100.0,131000.0,9,29.37,Fonds de roulement,Caution solidaire,1,2,0,60.6,7,22.1,AG-016,6,Contentieux,1
CLI-007264,2023-03-14,51,M,Marie,,Primaire,Urbaine,Services,40.0,149400.0,50400.0,1,18900.0,236000.0,6,20.87,Sante,Caution solidaire,0,0,0,47.8,18,6.0,AG-015,0,En cours,0
CLI-004985,2021-04-09,37,M,Marie,1.0,Aucun,Semi-urbaine,Commerce,63.0,55400.0,16500.0,0,0.0,301000.0,18,10.12,Fonds de roulement,Materiel,0,0,0,49.4,6,2.1,AG-011,0,Solde,0
CLI-003413,2023-09-15,42,F,Divorce,3.0,Superieur,Urbaine,Commerce,42.0,169800.0,117800.0,1,33400.0,235000.0,36,25.75,Intrants agricoles,Aucune,0,3,0,,15,1.1,AG-006,0,Solde,0
CLI-006376,2023-06-19,35,F,Divorce,1.0,Secondaire,Semi-urbaine,Services,,133800.0,84400.0,0,0.0,466000.0,18,25.15,Habitat,Materiel,0,0,0,49.0,8,4.5,AG-021,1,Solde,0
CLI-008909,2024-04-18,39,F,Marie,4.0,Secondaire,Semi-urbaine,Commerce,43.0,102100.0,54200.0,1,46400.0,341000.0,9,25.6,Sante,Aucune,0,0,0,66.6,6,1.6,AG-016,0,Solde,0
CLI-002734,2024-01-11,39,F,Marie,1.0,Aucun,Urbaine,Commerce,47.0,131900.0,76100.0,0,0.0,367000.0,3,24.4,Fonds de roulement,Caution solidaire,1,2,0,39.9,20,1.2,AG-001,0,Solde,0
CLI-005068,2021-01-31,30,F,Marie,6.0,Superieur,Urbaine,Commerce,68.0,,135600.0,1,52600.0,382000.0,36,24.49,Intrants agricoles,Caution solidaire,1,1,0,65.3,19,4.3,AG-011,0,Solde,0
CLI-001120,2023-07-19,48,F,Marie,1.0,Aucun,Semi-urbaine,Agriculture,15.0,19700.0,9200.0,1,3800.0,292000.0,12,29.68,Intrants agricoles,Caution solidaire,1,5,1,30.7,4,2.1,AG-018,8,Contentieux,1
CLI-003067,2022-12-12,46,M,Marie,3.0,Superieur,Semi-urbaine,Agriculture,8.0,103900.0,48400.0,0,0.0,353000.0,12,31.53,Equipement,Aucune,0,1,1,52.5,2,5.4,AG-002,1,Solde,0
CLI-006531,2024-07-04,35,F,Marie,4.0,Secondaire,Semi-urbaine,Agriculture,76.0,96800.0,56900.0,1,36700.0,227000.0,9,26.13,Scolarite,Caution solidaire,1,2,2,36.0,4,3.6,AG-019,0,En cours,0
CLI-004115,2024-05-09,-1,F,Marie,5.0,Secondaire,Rurale,Commerce,107.0,114900.0,47100.0,0,0.0,405000.0,12,17.17,Autre,Materiel,0,2,1,31.4,2,17.1,AG-010,1,Solde,0
CLI-005400,2024-12-07,27,M,Marie,2.0,Aucun,Rurale,Artisanat,14.0,,60300.0,1,45000.0,316000.0,24,19.98,Habitat,Caution solidaire,1,2,0,67.2,10,8.3,AG-006,0,Solde,0
CLI-006457,2024-04-28,58,F,Celibataire,1.0,Primaire,Rurale,Agriculture,30.0,18900.0,11600.0,0,0.0,98000.0,6,26.12,Equipement,Aucune,1,2,0,48.0,4,31.8,AG-020,7,Recouvrement,1
CLI-002226,2022-10-01,48,M,Divorce,4.0,Secondaire,Urbaine,Agriculture,62.0,101200.0,52400.0,0,0.0,130000.0,6,19.6,Equipement,Aucune,0,1,1,60.3,24,5.4,AG-020,0,Solde,0
CLI-006000,2021-10-03,48,M,Marie,6.0,Primaire,Rurale,Fonction publique,42.0,110500.0,58900.0,1,,334000.0,18,20.81,Equipement,Aucune,1,3,1,,7,10.2,AG-026,0,Solde,0
CLI-000199,2022-12-17,55,F,Celibataire,2.0,Aucun,Semi-urbaine,Agriculture,115.0,35600.0,28400.0,0,,210000.0,12,14.48,Fonds de roulement,Aucune,0,2,1,67.5,7,1.7,AG-016,2,Recouvrement,1
CLI-000449,2023-03-25,52,F,Veuf,1.0,Primaire,Urbaine,Commerce,27.0,99100.0,40400.0,0,,188000.0,12,21.28,Scolarite,Caution solidaire,1,3,3,,12,1.7,AG-026,2,Solde,0
CLI-005169,2022-12-14,42,F,Marie,2.0,Primaire,Semi-urbaine,Commerce,,,75300.0,1,39000.0,346000.0,24,22.01,Scolarite,Caution solidaire,1,3,0,40.3,5,5.9,AG-013,2,Solde,0
CLI-008098,2023-02-06,48,F,Marie,4.0,Superieur,Urbaine,Agriculture,40.0,67300.0,36100.0,1,,111000.0,6,30.04,Habitat,Caution solidaire,1,3,1,56.6,15,3.8,AG-016,0,En cours,0
CLI-001021,2023-03-29,36,M,Marie,4.0,Superieur,Rurale,Commerce,3.0,167300.0,74100.0,1,40900.0,620000.0,3,21.71,Fonds de roulement,Caution solidaire,0,2,0,68.0,11,17.5,AG-026,0,Solde,0
CLI-001879,2024-07-09,23,M,Marie,5.0,Secondaire,Urbaine,Commerce,86.0,106200.0,53000.0,0,0.0,239000.0,12,19.19,Scolarite,Aucune,0,3,0,62.0,17,6.4,AG-003,0,Solde,0
CLI-008327,2021-02-26,41,M,Marie,2.0,Superieur,Semi-urbaine,Fonction publique,85.0,246200.0,98300.0,1,15600.0,548000.0,6,19.61,Fonds de roulement,Caution solidaire,1,1,0,64.5,13,5.7,AG-011,0,Solde,0
CLI-001161,2021-05-26,26,M,Celibataire,4.0,Primaire,Semi-urbaine,Artisanat,22.0,139100.0,57500.0,0,0.0,380000.0,12,18.09,Equipement,Caution solidaire,0,2,0,46.9,5,0.9,AG-015,0,En cours,0
CLI-008654,2022-02-03,46,M,Marie,4.0,Secondaire,Urbaine,Transport,43.0,97100.0,88100.0,0,0.0,1601000.0,3,23.76,Equipement,Materiel,0,3,0,62.6,18,9.1,AG-008,0,Solde,0
CLI-000001,15/10/2023,18,M,Divorce,3.0,Primaire,Semi-urbaine,Agriculture,18.0,55100.0,32200.0,0,0.0,70000.0,12,18.71,Equipement,Aucune,0,1,1,44.4,4,7.9,AG-016,0,Solde,0
CLI-006560,2024-01-16,20,F,Marie,4.0,Aucun,Rurale,Commerce,24.0,33000.0,19000.0,0,0.0,66000.0,18,18.07,Intrants agricoles,Caution solidaire,1,2,1,,6,23.9,AG-020,0,Solde,0
CLI-008986,2023-12-16,25,M,Marie,2.0,Secondaire,Urbaine,Commerce,103.0,137600.0,71800.0,0,0.0,494000.0,6,14.2,Fonds de roulement,Caution solidaire,1,0,0,50.8,11,3.6,AG-003,0,Solde,0
CLI-007888,2024-06-21,48,Feminin,Celibataire,2.0,Primaire,Rurale,Commerce,45.0,137700.0,42300.0,0,0.0,44000.0,6,16.11,Intrants agricoles,Caution solidaire,1,1,0,42.7,11,7.9,AG-026,0,Solde,0
CLI-008602,2024-08-20,37,F,Celibataire,3.0,Aucun,Rurale,Agriculture,42.0,35600.0,19400.0,0,0.0,98000.0,24,18.93,Intrants agricoles,Aucune,0,4,1,65.7,2,15.3,AG-021,0,En cours,0
CLI-005237,2024-09-15,36,M,Divorce,1.0,Primaire,Rurale,Transport,71.0,50800.0,21000.0,0,0.0,355000.0,12,17.04,Fonds de roulement,Aucune,0,3,1,56.8,7,8.7,AG-005,0,Solde,0
CLI-005795,2023-12-20,31,F,Celibataire,1.0,Secondaire,RURALE,Artisanat,,33200.0,10500.0,1,10200.0,28000.0,6,24.4,Intrants agricoles,Aucune,0,2,1,51.4,5,12.8,AG-006,0,Solde,0
CLI-001301,2024-01-01,38,F,Marie,2.0,Aucun,Rurale,Commerce,45.0,64700.0,37200.0,0,0.0,281000.0,12,17.75,Fonds de roulement,Aucune,0,1,0,69.8,4,39.0,AG-005,0,En cours,0
CLI-008834,2021-07-05,44,F,Marie,5.0,Aucun,Semi-urbaine,Commerce,33.0,59700.0,26800.0,0,,172000.0,3,22.95,Fonds de roulement,Aucune,0,1,0,41.3,3,8.0,AG-012,0,Solde,0
CLI-003183,2021-06-04,25,M,Marie,2.0,Primaire,Semi-urbaine,  Commerce,18.0,55500.0,28400.0,0,0.0,65000.0,6,28.27,Equipement,Caution solidaire,1,3,3,21.5,5,9999.0,AG-023,0,Solde,0
CLI-004593,2023-10-24,25,M,Marie,6.0,Superieur,Urbaine,Services,84.0,142600.0,53600.0,0,0.0,314000.0,6,17.9,Fonds de roulement,Aucune,0,1,0,,13,3.0,AG-006,0,Solde,0
CLI-004999,2024-02-01,29,M,Celibataire,0.0,Aucun,Rurale,Agriculture,27.0,18000.0,6400.0,1,3400.0,45000.0,24,21.56,Fonds de roulement,Caution solidaire,1,0,0,46.1,6,42.0,AG-001,0,En cours,0
CLI-004625,2021-01-08,36,F,Marie,2.0,Secondaire,Urbaine,Transport,8.0,66800.0,55600.0,0,0.0,107000.0,18,20.4,Intrants agricoles,Aucune,0,1,0,51.2,16,1.6,AG-009,0,Solde,0
CLI-002351,2021-08-03,36,M,Divorce,0.0,Primaire,Rurale,Artisanat,93.0,62800.0,31200.0,0,0.0,133000.0,24,18.56,Fonds de roulement,Caution solidaire,1,4,2,32.2,5,62.8,AG-020,6,Recouvrement,1
CLI-003220,2021-04-26,45,M,Marie,2.0,Primaire,Rurale,Services,21.0,177900.0,55200.0,0,0.0,1332000.0,9,25.15,Fonds de roulement,Hypotheque,0,1,0,55.8,9,11.0,AG-015,0,En cours,0
CLI-003669,2025-01-08,28,M,Marie,3.0,Primaire,Semi-urbaine,Commerce,64.0,127800.0,88200.0,0,0.0,323000.0,6,20.28,Fonds de roulement,Caution solidaire,1,2,2,44.1,5,8.6,AG-015,0,Solde,0
